site,date,start_hour,value,variable,units,quality,prelim,name 
2373,2020-01-11,15,0.0040,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-11,16,0.0048,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-11,17,0.0067,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-11,18,0.0136,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-11,19,0.0143,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-11,20,0.0140,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-11,21,0.0146,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-11,22,0.0176,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-11,23,0.0075,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-12,0,0.0091,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-12,1,0.0147,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-12,2,0.0135,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-12,4,0.0163,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-12,5,0.0134,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-12,6,0.0151,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
