,name,date,OZONE,Pre-Shelter in place mean,Post-Shelter in place mean
400,San Jose-Jackson Street,2020-03-14,0.03145454545454545,0.026242419703663568,
401,San Pablo-Rumrill Blvd,2020-03-14,0.03833181818181818,0.026242419703663568,
402,Oakland-West,2020-03-14,0.035395652173913036,0.026242419703663568,
403,Sebastopol-103 Morris Street            ,2020-03-14,0.036365217391304355,0.026242419703663568,
404,Berkeley-Aquatic Park                   ,2020-03-14,0.032017391304347824,0.026242419703663568,
405,Napa-Valley College,2020-03-14,0.038243478260869566,0.026242419703663568,
406,Redwood City,2020-03-15,0.038647826086956515,0.026242419703663568,
407,Gilroy-9th Street,2020-03-15,0.03583043478260869,0.026242419703663568,
408,San Francisco-Arkansas Street,2020-03-15,0.043260869565217394,0.026242419703663568,
409,Vallejo-304 Tuolumne Street,2020-03-15,0.042008695652173904,0.026242419703663568,
410,San Rafael,2020-03-15,0.03942608695652174,0.026242419703663568,
411,Concord-2956-A Treat Blvd,2020-03-15,0.03789130434782608,0.026242419703663568,
412,Oakland-9925 International Blvd,2020-03-15,0.036695652173913046,0.026242419703663568,
