,name,date,NO2,Pre-Shelter in place mean,Post-Shelter in place mean
258,Vallejo-304 Tuolumne Street,2020-02-17,0.013056521739130435,0.011839483989298653,
259,San Rafael,2020-02-17,0.01316086956521739,0.011839483989298653,
260,Concord-2956-A Treat Blvd,2020-02-17,0.008895652173913044,0.011839483989298653,
261,Oakland-9925 International Blvd,2020-02-17,0.014478260869565216,0.011839483989298653,
263,San Jose-Jackson Street,2020-02-17,0.012054545454545455,0.011839483989298653,
264,San Pablo-Rumrill Blvd,2020-02-17,0.00872608695652174,0.011839483989298653,
265,Oakland-West,2020-02-17,0.018934782608695647,0.011839483989298653,
266,Oakland-Laney College                   ,2020-02-17,0.02172608695652174,0.011839483989298653,
267,Sebastopol-103 Morris Street            ,2020-02-17,0.0065782608695652165,0.011839483989298653,
268,San Jose-Knox Avenue                    ,2020-02-17,0.014521739130434782,0.011839483989298653,
269,Berkeley-Aquatic Park                   ,2020-02-17,0.02018695652173913,0.011839483989298653,
270,Napa-Valley College,2020-02-17,0.008139130434782609,0.011839483989298653,
271,Pleasanton-Owens Ct                     ,2020-02-17,0.013121739130434783,0.011839483989298653,
272,Redwood City,2020-02-18,0.017377272727272727,0.011839483989298653,
273,San Francisco-Arkansas Street,2020-02-18,0.017708695652173916,0.011839483989298653,
274,Vallejo-304 Tuolumne Street,2020-02-18,0.01213478260869565,0.011839483989298653,
275,San Rafael,2020-02-18,0.014878260869565217,0.011839483989298653,
276,Concord-2956-A Treat Blvd,2020-02-18,0.008608695652173913,0.011839483989298653,
277,Oakland-9925 International Blvd,2020-02-18,0.014708695652173913,0.011839483989298653,
278,Livermore-793 Rincon Avenue,2020-02-18,0.010253333333333333,0.011839483989298653,
279,San Jose-Jackson Street,2020-02-18,0.018745454545454544,0.011839483989298653,
280,San Pablo-Rumrill Blvd,2020-02-18,0.013078260869565218,0.011839483989298653,
281,Oakland-West,2020-02-18,0.022917391304347823,0.011839483989298653,
282,Oakland-Laney College                   ,2020-02-18,0.03166521739130435,0.011839483989298653,
283,Sebastopol-103 Morris Street            ,2020-02-18,0.00837391304347826,0.011839483989298653,
284,San Jose-Knox Avenue                    ,2020-02-18,0.024373913043478267,0.011839483989298653,
285,Berkeley-Aquatic Park                   ,2020-02-18,0.0232695652173913,0.011839483989298653,
286,Napa-Valley College,2020-02-18,0.01151111111111111,0.011839483989298653,
287,Pleasanton-Owens Ct                     ,2020-02-18,0.011456521739130435,0.011839483989298653,
288,Redwood City,2020-02-19,0.019204347826086956,0.011839483989298653,
289,San Francisco-Arkansas Street,2020-02-19,0.01477391304347826,0.011839483989298653,
290,Vallejo-304 Tuolumne Street,2020-02-19,0.018230434782608697,0.011839483989298653,
291,San Rafael,2020-02-19,0.013191304347826087,0.011839483989298653,
292,Concord-2956-A Treat Blvd,2020-02-19,0.011256521739130432,0.011839483989298653,
293,Oakland-9925 International Blvd,2020-02-19,0.018947826086956523,0.011839483989298653,
294,Livermore-793 Rincon Avenue,2020-02-19,0.018613043478260868,0.011839483989298653,
295,San Jose-Jackson Street,2020-02-19,0.0219,0.011839483989298653,
296,San Pablo-Rumrill Blvd,2020-02-19,0.014125000000000002,0.011839483989298653,
297,Oakland-West,2020-02-19,0.021299999999999996,0.011839483989298653,
298,Oakland-Laney College                   ,2020-02-19,0.02272608695652174,0.011839483989298653,
299,Sebastopol-103 Morris Street            ,2020-02-19,0.006917391304347826,0.011839483989298653,
300,San Jose-Knox Avenue                    ,2020-02-19,0.0257695652173913,0.011839483989298653,
301,Berkeley-Aquatic Park                   ,2020-02-19,0.0208952380952381,0.011839483989298653,
302,Napa-Valley College,2020-02-19,0.011315,0.011839483989298653,
303,Pleasanton-Owens Ct                     ,2020-02-19,0.022156521739130432,0.011839483989298653,
304,Redwood City,2020-02-20,0.02067826086956522,0.011839483989298653,
305,San Francisco-Arkansas Street,2020-02-20,0.024286956521739126,0.011839483989298653,
306,Vallejo-304 Tuolumne Street,2020-02-20,0.01866521739130435,0.011839483989298653,
307,San Rafael,2020-02-20,0.015947826086956524,0.011839483989298653,
308,Concord-2956-A Treat Blvd,2020-02-20,0.01264090909090909,0.011839483989298653,
309,Oakland-9925 International Blvd,2020-02-20,0.01623913043478261,0.011839483989298653,
310,Livermore-793 Rincon Avenue,2020-02-20,0.016639130434782604,0.011839483989298653,
311,San Jose-Jackson Street,2020-02-20,0.025800000000000003,0.011839483989298653,
312,San Pablo-Rumrill Blvd,2020-02-20,0.012282608695652173,0.011839483989298653,
313,Oakland-West,2020-02-20,0.022717391304347825,0.011839483989298653,
314,Oakland-Laney College                   ,2020-02-20,0.02733478260869566,0.011839483989298653,
315,Sebastopol-103 Morris Street            ,2020-02-20,0.009513043478260872,0.011839483989298653,
316,San Jose-Knox Avenue                    ,2020-02-20,0.026921739130434778,0.011839483989298653,
317,Berkeley-Aquatic Park                   ,2020-02-20,0.025385714285714286,0.011839483989298653,
318,Napa-Valley College,2020-02-20,0.01112608695652174,0.011839483989298653,
319,Pleasanton-Owens Ct                     ,2020-02-20,0.023913043478260867,0.011839483989298653,
320,Redwood City,2020-02-21,0.020504545454545452,0.011839483989298653,
321,San Francisco-Arkansas Street,2020-02-21,0.019799999999999998,0.011839483989298653,
322,Vallejo-304 Tuolumne Street,2020-02-21,0.021754545454545457,0.011839483989298653,
323,San Rafael,2020-02-21,0.015954545454545457,0.011839483989298653,
324,Concord-2956-A Treat Blvd,2020-02-21,0.011752173913043477,0.011839483989298653,
325,Oakland-9925 International Blvd,2020-02-21,0.017139130434782605,0.011839483989298653,
326,Livermore-793 Rincon Avenue,2020-02-21,0.016956521739130436,0.011839483989298653,
327,San Jose-Jackson Street,2020-02-21,0.03081818181818182,0.011839483989298653,
328,San Pablo-Rumrill Blvd,2020-02-21,0.01382608695652174,0.011839483989298653,
329,Oakland-West,2020-02-21,0.02624090909090909,0.011839483989298653,
330,Oakland-Laney College                   ,2020-02-21,0.033152173913043474,0.011839483989298653,
331,Sebastopol-103 Morris Street            ,2020-02-21,0.01146875,0.011839483989298653,
332,San Jose-Knox Avenue                    ,2020-02-21,0.0302695652173913,0.011839483989298653,
333,Berkeley-Aquatic Park                   ,2020-02-21,0.025376190476190483,0.011839483989298653,
334,Napa-Valley College,2020-02-21,0.011317391304347824,0.011839483989298653,
