,name,date,NOX,Pre-Shelter in place mean,Post-Shelter in place mean
417,San Francisco-Arkansas Street,2020-02-27,0.037856521739130435,0.01818764397517645,
418,Vallejo-304 Tuolumne Street,2020-02-27,0.029317391304347826,0.01818764397517645,
419,San Rafael,2020-02-27,0.020930434782608694,0.01818764397517645,
420,Concord-2956-A Treat Blvd,2020-02-27,0.01057391304347826,0.01818764397517645,
421,Oakland-9925 International Blvd,2020-02-27,0.020957894736842106,0.01818764397517645,
422,Livermore-793 Rincon Avenue,2020-02-27,0.026882608695652174,0.01818764397517645,
423,San Jose-Jackson Street,2020-02-27,0.036931818181818184,0.01818764397517645,
424,San Pablo-Rumrill Blvd,2020-02-27,0.01633478260869565,0.01818764397517645,
425,Oakland-West,2020-02-27,0.04096000000000001,0.01818764397517645,
426,Oakland-Laney College                   ,2020-02-27,0.05182727272727274,0.01818764397517645,
427,Sebastopol-103 Morris Street            ,2020-02-27,0.009904347826086957,0.01818764397517645,
428,San Jose-Knox Avenue                    ,2020-02-27,0.04588260869565217,0.01818764397517645,
429,Berkeley-Aquatic Park                   ,2020-02-27,0.04734499999999999,0.01818764397517645,
430,Napa-Valley College,2020-02-27,0.013456521739130435,0.01818764397517645,
431,Pleasanton-Owens Ct                     ,2020-02-27,0.0397304347826087,0.01818764397517645,
432,Redwood City,2020-02-28,0.022495454545454544,0.01818764397517645,
433,San Francisco-Arkansas Street,2020-02-28,0.03405909090909092,0.01818764397517645,
434,Vallejo-304 Tuolumne Street,2020-02-28,0.02030909090909091,0.01818764397517645,
435,San Rafael,2020-02-28,0.02037727272727272,0.01818764397517645,
436,Concord-2956-A Treat Blvd,2020-02-28,0.010943478260869565,0.01818764397517645,
437,Oakland-9925 International Blvd,2020-02-28,0.011885714285714282,0.01818764397517645,
438,Livermore-793 Rincon Avenue,2020-02-28,0.023813043478260864,0.01818764397517645,
439,San Jose-Jackson Street,2020-02-28,0.027695454545454554,0.01818764397517645,
440,San Pablo-Rumrill Blvd,2020-02-28,0.0177,0.01818764397517645,
441,Oakland-West,2020-02-28,0.024740909090909088,0.01818764397517645,
442,Oakland-Laney College                   ,2020-02-28,0.03530869565217391,0.01818764397517645,
443,Sebastopol-103 Morris Street            ,2020-02-28,0.008108695652173911,0.01818764397517645,
444,San Jose-Knox Avenue                    ,2020-02-28,0.039282608695652164,0.01818764397517645,
445,Berkeley-Aquatic Park                   ,2020-02-28,0.04382608695652174,0.01818764397517645,
446,Napa-Valley College,2020-02-28,0.01062608695652174,0.01818764397517645,
447,Pleasanton-Owens Ct                     ,2020-02-28,0.03797391304347826,0.01818764397517645,
448,Redwood City,2020-02-29,0.004000000000000001,0.01818764397517645,
449,San Francisco-Arkansas Street,2020-02-29,0.003352631578947368,0.01818764397517645,
450,Vallejo-304 Tuolumne Street,2020-02-29,0.00238421052631579,0.01818764397517645,
451,San Rafael,2020-02-29,0.003984210526315788,0.01818764397517645,
452,Concord-2956-A Treat Blvd,2020-02-29,0.0031260869565217387,0.01818764397517645,
453,Oakland-9925 International Blvd,2020-02-29,0.005252631578947369,0.01818764397517645,
454,Livermore-793 Rincon Avenue,2020-02-29,0.0023052631578947373,0.01818764397517645,
455,San Jose-Jackson Street,2020-02-29,0.005257894736842106,0.01818764397517645,
456,San Pablo-Rumrill Blvd,2020-02-29,0.004517391304347826,0.01818764397517645,
